Category,Use Case,Tittle,Short Description,Long Description,Features,Specifications
HR,Resume Screening & Shortlisting,HireVue,,,,
HR,Resume Screening & Shortlisting,Pymetrics,,,,
HR,Resume Screening & Shortlisting,SeekOut,,,,
HR,Resume Screening & Shortlisting,Manatal,,,,
HR,Employee Sentiment Analysis,Officevibe,,,,
HR,Employee Sentiment Analysis,Culture Amp,,,,
HR,Employee Sentiment Analysis,TeamMood,,,,
HR,Employee Sentiment Analysis,Peakon,,,,
HR,Learning & Development Personalization,EdCast,,,,
HR,Learning & Development Personalization,Docebo,,,,
HR,Learning & Development Personalization,LinkedIn Learning,,,,
HR,Learning & Development Personalization,Coursera for Business,,,,
HR,Attrition Prediction & Retention Analytics,Eightfold AI,,,,
HR,Attrition Prediction & Retention Analytics,Visier,,,,
HR,Attrition Prediction & Retention Analytics,PredictiveHire,,,,
HR,Attrition Prediction & Retention Analytics,Zappyhire,,,,
Operations,Process Automation (RPA),UiPath,,,,
Operations,Process Automation (RPA),Automation Anywhere,,,,
Operations,Process Automation (RPA),Blue Prism,,,,
Operations,Process Automation (RPA),Zapier,,,,
Operations,Demand Forecasting,Zendesk AI,,,,
Operations,Demand Forecasting,Intercom,,,,
Operations,Demand Forecasting,Freshworks Freddy AI,,,,
Operations,Demand Forecasting,Tidio,,,,
Operations,Inventory Optimization,Llamasoft,,,,
Operations,Inventory Optimization,o9 Solutions,,,,
Operations,Inventory Optimization,ToolsGroup,,,,
Operations,Inventory Optimization,SAP IBP,,,,
Supply Chain,Logistics & Route Optimization,E2open,,,,
Supply Chain,Logistics & Route Optimization,Netstock,,,,
Supply Chain,Logistics & Route Optimization,Relex,,,,
Supply Chain,Logistics & Route Optimization,ClearMetal,,,,
Technology,Code Generation & Review,Jaggaer,,,,
Technology,Code Generation & Review,Ivalua,,,,
Technology,Code Generation & Review,Resilinc,,,,
Technology,Code Generation & Review,Prewave,,,,
Technology,Cybersecurity Threat Detection,GitHub Copilot,,,,
Technology,Cybersecurity Threat Detection,Codeium,,,,
Technology,Cybersecurity Threat Detection,Tabnine,,,,
Technology,Cybersecurity Threat Detection,DeepCode,,,,
Technology,IT Helpdesk Automation,Darktrace,,,,
Technology,IT Helpdesk Automation,Vectra AI,,,,
Technology,IT Helpdesk Automation,CrowdStrike Falcon,,,,
Technology,IT Helpdesk Automation,Cylance,,,,
Technology,Predictive Maintenance,Moveworks,,,,
Technology,Predictive Maintenance,Aisera,,,,
Technology,Predictive Maintenance,Resolve.ai,,,,
Technology,Predictive Maintenance,BMC Helix,,,,